"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 17:39:12 UTC 2026","Thu Jul 16 17:39:12 UTC 2026","632","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Thu Jul 16 17:39:10 UTC 2026","Thu Jul 16 17:39:11 UTC 2026","1356","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
"passed","Thu Jul 16 17:39:11 UTC 2026","Thu Jul 16 17:39:12 UTC 2026","760","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Thu Jul 16 17:39:10 UTC 2026","Thu Jul 16 17:39:11 UTC 2026","1004","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
