"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 17:14:27 UTC 2026","Thu Jul 16 17:14:29 UTC 2026","1897","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
"passed","Thu Jul 16 17:14:30 UTC 2026","Thu Jul 16 17:14:30 UTC 2026","795","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Thu Jul 16 17:14:29 UTC 2026","Thu Jul 16 17:14:30 UTC 2026","968","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Thu Jul 16 17:14:27 UTC 2026","Thu Jul 16 17:14:29 UTC 2026","1148","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
