"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 17:59:06 UTC 2026","Mon Jul 20 17:59:07 UTC 2026","930","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Mon Jul 20 17:59:06 UTC 2026","Mon Jul 20 17:59:07 UTC 2026","828","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Mon Jul 20 17:59:04 UTC 2026","Mon Jul 20 17:59:05 UTC 2026","1178","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"passed","Mon Jul 20 17:59:03 UTC 2026","Mon Jul 20 17:59:05 UTC 2026","1680","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
