"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 13:22:13 UTC 2026","Thu Jul 16 13:22:13 UTC 2026","801","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Thu Jul 16 13:22:12 UTC 2026","Thu Jul 16 13:22:13 UTC 2026","899","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Thu Jul 16 13:22:10 UTC 2026","Thu Jul 16 13:22:12 UTC 2026","1218","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"passed","Thu Jul 16 13:22:10 UTC 2026","Thu Jul 16 13:22:12 UTC 2026","1694","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
