"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 12:36:26 UTC 2026","Thu Jul 16 12:36:27 UTC 2026","910","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Thu Jul 16 12:36:25 UTC 2026","Thu Jul 16 12:36:27 UTC 2026","1786","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
"passed","Thu Jul 16 12:36:25 UTC 2026","Thu Jul 16 12:36:26 UTC 2026","1264","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"passed","Thu Jul 16 12:36:27 UTC 2026","Thu Jul 16 12:36:28 UTC 2026","803","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
