"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 20:03:53 UTC 2026","Wed Jul 15 20:03:55 UTC 2026","1284","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"passed","Wed Jul 15 20:03:56 UTC 2026","Wed Jul 15 20:03:56 UTC 2026","787","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Wed Jul 15 20:03:53 UTC 2026","Wed Jul 15 20:03:55 UTC 2026","1724","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
"passed","Wed Jul 15 20:03:55 UTC 2026","Wed Jul 15 20:03:56 UTC 2026","907","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
