"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 17:56:24 UTC 2026","Mon Jul 20 17:56:25 UTC 2026","1302","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"passed","Mon Jul 20 17:56:26 UTC 2026","Mon Jul 20 17:56:27 UTC 2026","803","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"passed","Mon Jul 20 17:56:25 UTC 2026","Mon Jul 20 17:56:26 UTC 2026","953","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"passed","Mon Jul 20 17:56:24 UTC 2026","Mon Jul 20 17:56:26 UTC 2026","1728","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
